"field","raw_respondents_invalid","three_task_respondents_invalid","marginal_count_only"
"gender",50,43,TRUE
"age",50,43,TRUE
"income",51,44,TRUE
"education",50,43,TRUE
"party",56,49,TRUE
"region",50,43,TRUE
"employment",51,44,TRUE
