"design_cell","task_count","choice_a_rate","cand_genderMale","cand_runYes","cand_talentCollaborative","cand_talentDetermined.to.Succeed","cand_talentEmpathetic","cand_talentGood.Communicator","cand_talentHard.Working","cand_talentTough.Negotiator","cand_agendaModerate.Changes","cand_agendaComplete.Overhaul","cand_child1.child","cand_child2.children","cand_child3.children"
"-1,0,0,-1,1,0,0,0,0,1,0,0,0",2,0.5,-1,0,0,-1,1,0,0,0,0,1,0,0,0
"-1,0,0,0,-1,0,0,0,0,0,1,0,0",2,0.5,-1,0,0,0,-1,0,0,0,0,0,1,0,0
"-1,0,0,0,0,0,-1,1,0,0,0,0,0",2,0.5,-1,0,0,0,0,0,-1,1,0,0,0,0,0
"-1,0,0,0,0,0,0,-1,0,0,0,0,0",2,0.5,-1,0,0,0,0,0,0,-1,0,0,0,0,0
"-1,0,0,0,0,0,0,0,-1,1,0,0,1",2,1,-1,0,0,0,0,0,0,0,-1,1,0,0,1
"-1,0,0,0,0,0,0,0,0,-1,-1,1,0",2,0.5,-1,0,0,0,0,0,0,0,0,-1,-1,1,0
"-1,0,0,0,0,0,0,0,0,0,-1,1,0",2,1,-1,0,0,0,0,0,0,0,0,0,-1,1,0
"-1,0,0,0,0,0,0,0,0,0,0,1,-1",2,0,-1,0,0,0,0,0,0,0,0,0,0,1,-1
"-1,0,0,0,0,0,0,0,0,0,1,-1,0",2,1,-1,0,0,0,0,0,0,0,0,0,1,-1,0
"-1,0,0,0,0,0,0,0,0,0,1,0,-1",2,0.5,-1,0,0,0,0,0,0,0,0,0,1,0,-1
"-1,0,0,0,0,0,0,0,0,1,0,-1,0",2,0.5,-1,0,0,0,0,0,0,0,0,1,0,-1,0
"-1,0,0,0,0,0,0,0,1,-1,0,0,0",2,1,-1,0,0,0,0,0,0,0,1,-1,0,0,0
"-1,0,0,0,0,0,0,0,1,-1,1,0,0",2,0,-1,0,0,0,0,0,0,0,1,-1,1,0,0
"-1,0,0,0,0,1,-1,0,0,1,0,0,0",2,1,-1,0,0,0,0,1,-1,0,0,1,0,0,0
"-1,0,0,0,1,0,0,0,0,0,0,0,1",2,0,-1,0,0,0,1,0,0,0,0,0,0,0,1
"-1,0,0,1,0,-1,0,0,0,0,1,0,0",2,0.5,-1,0,0,1,0,-1,0,0,0,0,1,0,0
"-1,0,0,1,0,0,-1,0,1,-1,0,0,0",2,1,-1,0,0,1,0,0,-1,0,1,-1,0,0,0
"-1,0,0,1,0,0,0,0,0,0,0,1,0",2,1,-1,0,0,1,0,0,0,0,0,0,0,1,0
"-1,0,1,-1,0,0,0,0,0,-1,0,0,0",2,1,-1,0,1,-1,0,0,0,0,0,-1,0,0,0
"-1,0,1,0,0,0,0,-1,0,0,0,1,0",2,0.5,-1,0,1,0,0,0,0,-1,0,0,0,1,0
"-1,0,1,0,0,0,0,0,-1,1,0,-1,1",2,1,-1,0,1,0,0,0,0,0,-1,1,0,-1,1
"-1,1,-1,1,0,0,0,0,-1,0,-1,1,0",2,0,-1,1,-1,1,0,0,0,0,-1,0,-1,1,0
