"coordinate","mean","sd","abs_mean_over_sd"
"diff_respParty",-0.0012102435009924,0.680271741959197,0.00177905890594084
"diff_p1_num",0.0144261025318294,1.5840403472512,0.00910715598681758
"diff_p2_num",-0.012586532410321,1.57236875700825,0.00800482224937447
"diff_dem_code_g_committee",-0.00150070194123058,0.433903608101044,0.00345860673479605
"diff_dem_code_g_officestructure",-0.00455051556373142,0.435719501405256,0.0104436811964013
"diff_dem_code_g_procedure",-0.00096819480079392,0.432172281964745,0.00224029823567654
"diff_dem_code_g_progEval",0.00435687660357264,0.431927293786573,0.0100870601748207
"diff_dem_code_g_record",-0.00551871036452534,0.429328262433071,0.0128542908711622
"diff_dem_code_g_schedule",0.0023720772619451,0.431550296955013,0.00549664147767318
"diff_dem_code_u_banProtest",0.0036307305029772,0.277507553509134,0.0130833573971805
"diff_dem_code_u_court",0.000532507140436656,0.277356300364578,0.00191993886469025
"diff_dem_code_u_execRule",0.00164593116134966,0.277264638252523,0.00593631835535626
"diff_dem_code_u_gerry2",0.00227525778186571,0.277521977594971,0.00819847783438014
"diff_dem_code_u_gerry10",-0.000822965580674832,0.276831448940386,0.00297280379026608
"diff_dem_code_u_journalists",-0.00232366752190541,0.277259786398476,0.00838083139314639
"diff_dem_code_u_limitVote",-0.000677736360555744,0.276744389274887,0.00244896152124897
"diff_dem_code_v_affair",4.8409740039696e-05,0.277007491327024,0.000174759678186989
"diff_dem_code_v_tax",0.00145229220119088,0.277614711291954,0.0052313229166864
"diff_sex_Female",-0.0072614610059544,0.693100848963716,0.0104767740752465
"diff_race_Asian",-0.00314663310258024,0.306525614912019,0.0102654817395388
"diff_race_Black",0.000290458440238176,0.508163329896413,0.000571584809744899
"diff_race_Hispanic",0.00435687660357264,0.507572778944038,0.00858374756155511
"diff_pro_Farmer",-0.00411482790337416,0.425094549082627,0.00967979455924368
"diff_pro_Lawyer",0.00208161882170693,0.564614237801818,0.00368679831704418
"diff_pro_Legislative_staffer",-0.00140388246115118,0.428627911472673,0.00327529408042455
"diff_pro_Police_officer",0.00111342402091301,0.428515803132721,0.00259832662593345
"diff_pro_Served_in_the_army",0.000290458440238176,0.30376528287197,0.000956193668651058
"diff_pro_Served_in_the_navy",0.00353391102289781,0.302707094778482,0.0116743580968391
"diff_pro_Small_business_owner",0.00198479934162754,0.502940550645748,0.0039463895664789
"diff_pro_Teacher",-0.00251730648206419,0.420699703717502,0.00598361838579889
