"coordinate","mean","sd","abs_mean_over_sd"
"rate_L10",0.0890625,13.5969504002666,0.00655018201715685
"rate_10_35",0.075,15.8720704435138,0.00472528144749062
"rate_35_85",0.050625,15.7656817773452,0.00321108853489271
"rate_85_175",-0.078125,15.7885473167585,0.00494820697766635
"rate_175_375",0.19,19.9822134798286,0.00950845611732647
"rate_375P",-0.230625,23.9786675639094,0.00961792390612715
"revenue_score",0.0045625,2.07190974326054,0.00220207468729793
